cell,rate,w,method,eval,mean_reward,best_val_ber
R0.75_w3,0.75,3,random,160,,2.2865e-03
R0.75_w3,0.75,3,random,200,,1.9788e-03
R0.75_w3,0.75,3,random,240,,1.9788e-03
R0.75_w3,0.75,3,random,280,,1.9788e-03
R0.75_w3,0.75,3,random,320,,1.9788e-03
R0.75_w3,0.75,3,random,360,,1.9788e-03
R0.75_w3,0.75,3,random,400,,1.9788e-03
R0.75_w3,0.75,3,random,440,,1.9788e-03
R0.75_w3,0.75,3,random,480,,1.9196e-03
R0.833_w1,0.833,1,rl,40,2.0647,6.7891e-03
R0.833_w1,0.833,1,rl,80,1.9755,5.6447e-03
R0.833_w1,0.833,1,rl,120,1.9530,5.3816e-03
R0.833_w1,0.833,1,rl,160,2.3264,5.3816e-03
R0.833_w1,0.833,1,rl,200,2.1921,5.3816e-03
R0.833_w1,0.833,1,rl,240,2.0622,5.3816e-03
R0.833_w1,0.833,1,rl,280,2.0942,5.3816e-03
R0.833_w1,0.833,1,rl,320,2.1951,5.1475e-03
R0.833_w1,0.833,1,rl,360,2.2273,5.1475e-03
R0.833_w1,0.833,1,rl,400,2.1778,5.1475e-03
R0.833_w1,0.833,1,rl,440,2.1669,5.1475e-03
R0.833_w1,0.833,1,rl,480,2.2076,4.0515e-03
R0.833_w1,0.833,1,rl_peredge,40,2.1493,8.5034e-03
R0.833_w1,0.833,1,rl_peredge,80,2.2003,5.1911e-03
R0.833_w1,0.833,1,rl_peredge,120,1.9523,5.1911e-03
R0.833_w1,0.833,1,rl_peredge,160,2.0905,5.1911e-03
